index;indeks;Price [PLN/MWh];Volume [MWh]
02.01.2016 00:00;TGeBase;120,6;83955,2
03.01.2016 00:00;TGeBase;122,62;82050,9
04.01.2016 00:00;TGeBase;141,03;66314,9
05.01.2016 00:00;TGeBase;173,67;77522,8
06.01.2016 00:00;TGeBase;152,27;75863,9
07.01.2016 00:00;TGeBase;201,01;84276,2
08.01.2016 00:00;TGeBase;182,34;78794
09.01.2016 00:00;TGeBase;173,12;92283,9
10.01.2016 00:00;TGeBase;137,42;71005,6
11.01.2016 00:00;TGeBase;223,12;97128
12.01.2016 00:00;TGeBase;190,27;91164,9
13.01.2016 00:00;TGeBase;198,92;74102,2
14.01.2016 00:00;TGeBase;234,92;87208,3
15.01.2016 00:00;TGeBase;208,4;85180
16.01.2016 00:00;TGeBase;182,66;92873,8
17.01.2016 00:00;TGeBase;150,63;81681,6
18.01.2016 00:00;TGeBase;212,58;86727
19.01.2016 00:00;TGeBase;197,23;83904,1
20.01.2016 00:00;TGeBase;194,01;77361,8
21.01.2016 00:00;TGeBase;208,5;93278,7
22.01.2016 00:00;TGeBase;198,91;95864,3
23.01.2016 00:00;TGeBase;163,7;101745,2
24.01.2016 00:00;TGeBase;137,49;74602,1
25.01.2016 00:00;TGeBase;182,36;77999,7
26.01.2016 00:00;TGeBase;162,84;69991,9
27.01.2016 00:00;TGeBase;149,9;74868,8
28.01.2016 00:00;TGeBase;145,54;69429,2
29.01.2016 00:00;TGeBase;143,18;72151,7
30.01.2016 00:00;TGeBase;128,07;84930,6
31.01.2016 00:00;TGeBase;112,81;81100
01.02.2016 00:00;TGeBase;147,44;71995
02.02.2016 00:00;TGeBase;131,86;70425,4
03.02.2016 00:00;TGeBase;135,94;72109,2
04.02.2016 00:00;TGeBase;139,3;69087,3
05.02.2016 00:00;TGeBase;152,48;60780,6
06.02.2016 00:00;TGeBase;130,41;63965,5
07.02.2016 00:00;TGeBase;109,96;82999,9
08.02.2016 00:00;TGeBase;125,23;81144,5
09.02.2016 00:00;TGeBase;130,4;80065,3
10.02.2016 00:00;TGeBase;143,98;78460,7
11.02.2016 00:00;TGeBase;147,38;68447,6
12.02.2016 00:00;TGeBase;159,24;82290,7
13.02.2016 00:00;TGeBase;142,67;80668,5
14.02.2016 00:00;TGeBase;124,49;73388,3
15.02.2016 00:00;TGeBase;149,9;64452,5
16.02.2016 00:00;TGeBase;155,3;73795,2
17.02.2016 00:00;TGeBase;144,97;59177,8
18.02.2016 00:00;TGeBase;155,28;76900,3
19.02.2016 00:00;TGeBase;166,4;78869,5
20.02.2016 00:00;TGeBase;130,93;65109,3
21.02.2016 00:00;TGeBase;109,74;84976,8
22.02.2016 00:00;TGeBase;124,15;71114
23.02.2016 00:00;TGeBase;141,44;75705,1
24.02.2016 00:00;TGeBase;145,32;67739,4
25.02.2016 00:00;TGeBase;155,95;74295,1
26.02.2016 00:00;TGeBase;154,59;77014,5
27.02.2016 00:00;TGeBase;144,27;78205,2
28.02.2016 00:00;TGeBase;129,27;80723,6
29.02.2016 00:00;TGeBase;140,41;69930,4
01.03.2016 00:00;TGeBase;154,04;81994,7
02.03.2016 00:00;TGeBase;154,46;82714,7
