index;indeks;Price [PLN/MWh];Volume [MWh]
29.06.2019 00:00;TGePeak;254,91;61563,8
30.06.2019 00:00;TGePeak;214,21;40479,5
01.07.2019 00:00;TGePeak;260,03;51147,2
02.07.2019 00:00;TGePeak;229,33;49176,5
03.07.2019 00:00;TGePeak;229,81;54015,9
04.07.2019 00:00;TGePeak;232,11;53967,6
05.07.2019 00:00;TGePeak;213,86;54051,7
06.07.2019 00:00;TGePeak;234,39;49179,7
07.07.2019 00:00;TGePeak;134,73;43904,8
08.07.2019 00:00;TGePeak;227,26;52719
09.07.2019 00:00;TGePeak;224,86;55659,2
10.07.2019 00:00;TGePeak;245,09;45568,2
11.07.2019 00:00;TGePeak;272,79;52488
12.07.2019 00:00;TGePeak;288,07;48483,8
13.07.2019 00:00;TGePeak;242,72;61193
14.07.2019 00:00;TGePeak;189,96;40265,8
15.07.2019 00:00;TGePeak;273,22;50568,6
16.07.2019 00:00;TGePeak;254,26;53626
17.07.2019 00:00;TGePeak;246,89;55713,5
18.07.2019 00:00;TGePeak;274,85;57219
19.07.2019 00:00;TGePeak;279,01;50010,8
20.07.2019 00:00;TGePeak;257,64;61397,2
21.07.2019 00:00;TGePeak;206,8;40005,7
22.07.2019 00:00;TGePeak;268,46;43777,2
23.07.2019 00:00;TGePeak;276,05;42398,2
24.07.2019 00:00;TGePeak;300,6;45243,8
25.07.2019 00:00;TGePeak;303,72;44497,9
26.07.2019 00:00;TGePeak;286,84;47972,4
27.07.2019 00:00;TGePeak;249,56;57509,5
28.07.2019 00:00;TGePeak;217,41;42777,6
29.07.2019 00:00;TGePeak;316,47;51254,3
30.07.2019 00:00;TGePeak;314,61;53248,6
31.07.2019 00:00;TGePeak;302,17;54213,5
01.08.2019 00:00;TGePeak;304,34;49653,8
02.08.2019 00:00;TGePeak;289,09;54607,5
03.08.2019 00:00;TGePeak;282,49;55319,2
04.08.2019 00:00;TGePeak;240,53;42819,5
05.08.2019 00:00;TGePeak;306,82;44952,3
06.08.2019 00:00;TGePeak;292,24;51385,7
07.08.2019 00:00;TGePeak;300,02;44046,9
08.08.2019 00:00;TGePeak;287,21;44560,8
09.08.2019 00:00;TGePeak;288,1;40793,3
10.08.2019 00:00;TGePeak;257,79;53158,8
11.08.2019 00:00;TGePeak;232,59;37746,4
12.08.2019 00:00;TGePeak;298,11;41267,2
13.08.2019 00:00;TGePeak;292,34;41543,7
14.08.2019 00:00;TGePeak;287,93;43266,7
15.08.2019 00:00;TGePeak;243,56;42867,7
16.08.2019 00:00;TGePeak;275,6;49026,1
17.08.2019 00:00;TGePeak;261,4;41608,3
18.08.2019 00:00;TGePeak;221;35927,7
19.08.2019 00:00;TGePeak;299,67;43660,8
20.08.2019 00:00;TGePeak;300,99;39537,8
21.08.2019 00:00;TGePeak;296,03;42239,9
22.08.2019 00:00;TGePeak;314,28;46553,5
